year	week
1961	1
1961	2
1961	3
1961	4
1961	5
1961	6
1961	7
1961	8
1961	9
1961	10
1961	11
1961	12
1961	13
1961	14
1961	15
1961	16
1961	17
1961	18
1961	19
1961	20
1961	21
1961	22
1961	23
1961	24
1961	25
1961	26
1961	27
1961	28
1961	29
1961	30
1961	31
1961	32
1961	33
1961	34
1961	35
1961	36
1961	37
1961	38
1961	39
1961	40
1961	41
1961	42
1961	43
1961	44
1961	45
1961	46
1961	47
1961	48
1961	49
1961	50
1961	51
1961	52
1962	1
1962	2
1962	3
1962	4
1962	5
1962	6
1962	7
1962	8
1962	9
1962	10
1962	11
1962	12
1962	13
1962	14
1962	15
1962	16
1962	17
1962	18
1962	19
1962	20
1962	21
1962	22
1962	23
1962	24
1962	25
1962	26
1962	27
1962	28
1962	29
1962	30
1962	31
1962	32
1962	33
1962	34
1962	35
1962	36
1962	37
1962	38
1962	39
1962	40
1962	41
1962	42
1962	43
1962	44
1962	45
1962	46
1962	47
1962	48
1962	49
1962	50
1962	51
1962	52
1963	1
1963	2
1963	3
1963	4
1963	5
1963	6
1963	7
1963	8
1963	9
1963	10
1963	11
1963	12
1963	13
1963	14
1963	15
1963	16
1963	17
1963	18
1963	19
1963	20
1963	21
1963	22
1963	23
1963	24
1963	25
1963	26
1963	27
1963	28
1963	29
1963	30
1963	31
1963	32
1963	33
1963	34
1963	35
1963	36
1963	37
1963	38
1963	39
1963	40
1963	41
1963	42
1963	43
1963	44
1963	45
1963	46
1963	47
1963	48
1963	49
1963	50
1963	51
1963	52
1964	1
1964	2
1964	3
1964	4
1964	5
1964	6
1964	7
1964	8
1964	9
1964	10
1964	11
1964	12
1964	13
1964	14
1964	15
1964	16
1964	17
1964	18
1964	19
1964	20
1964	21
1964	22
1964	23
1964	24
1964	25
1964	26
1964	27
1964	28
1964	29
1964	30
1964	31
1964	32
1964	33
1964	34
1964	35
1964	36
1964	37
1964	38
1964	39
1964	40
1964	41
1964	42
1964	43
1964	44
1964	45
1964	46
1964	47
1964	48
1964	49
1964	50
1964	51
1964	52
1964	53
1965	1
1965	2
1965	3
1965	4
1965	5
1965	6
1965	7
1965	8
1965	9
1965	10
1965	11
1965	12
1965	13
1965	14
1965	15
1965	16
1965	17
1965	18
1965	19
1965	20
1965	21
1965	22
1965	23
1965	24
1965	25
1965	26
1965	27
1965	28
1965	29
1965	30
1965	31
1965	32
1965	33
1965	34
1965	35
1965	36
1965	37
1965	38
1965	39
1965	40
1965	41
1965	42
1965	43
1965	44
1965	45
1965	46
1965	47
1965	48
1965	49
1965	50
1965	51
1965	52
1966	1
1966	2
1966	3
1966	4
1966	5
1966	6
1966	7
1966	8
1966	9
1966	10
1966	11
1966	12
1966	13
1966	14
1966	15
1966	16
1966	17
1966	18
1966	19
1966	20
1966	21
1966	22
1966	23
1966	24
1966	25
1966	26
1966	27
1966	28
1966	29
1966	30
1966	31
1966	32
1966	33
1966	34
1966	35
1966	36
1966	37
1966	38
1966	39
1966	40
1966	41
1966	42
1966	43
1966	44
1966	45
1966	46
1966	47
1966	48
1966	49
1966	50
1966	51
1966	52
1967	1
1967	2
1967	3
1967	4
1967	5
1967	6
1967	7
1967	8
1967	9
1967	10
1967	11
1967	12
1967	13
1967	14
1967	15
1967	16
1967	17
1967	18
1967	19
1967	20
1967	21
1967	22
1967	23
1967	24
1967	25
1967	26
1967	27
1967	28
1967	29
1967	30
1967	31
1967	32
1967	33
1967	34
1967	35
1967	36
1967	37
1967	38
1967	39
1967	40
1967	41
1967	42
1967	43
1967	44
1967	45
1967	46
1967	47
1967	48
1967	49
1967	50
1967	51
1967	52
1968	1
1968	2
1968	3
1968	4
1968	5
1968	6
1968	7
1968	8
1968	9
1968	10
1968	11
1968	12
1968	13
1968	14
1968	15
1968	16
1968	17
1968	18
1968	19
1968	20
1968	21
1968	22
1968	23
1968	24
1968	25
1968	26
1968	27
1968	28
1968	29
1968	30
1968	31
1968	32
1968	33
1968	34
1968	35
1968	36
1968	37
1968	38
1968	39
1968	40
1968	41
1968	42
1968	43
1968	44
1968	45
1968	46
1968	47
1968	48
1968	49
1968	50
1968	51
1968	52
1969	1
1969	2
1969	3
1969	4
1969	5
1969	6
1969	7
1969	8
1969	9
1969	10
1969	11
1969	12
1969	13
1969	14
1969	15
1969	16
1969	17
1969	18
1969	19
1969	20
1969	21
1969	22
1969	23
1969	24
1969	25
1969	26
1969	27
1969	28
1969	29
1969	30
1969	31
1969	32
1969	33
1969	34
1969	35
1969	36
1969	37
1969	38
1969	39
1969	40
1969	41
1969	42
1969	43
1969	44
1969	45
1969	46
1969	47
1969	48
1969	49
1969	50
1969	51
1969	52
1970	1
1970	2
1970	3
1970	4
1970	5
1970	6
1970	7
1970	8
1970	9
1970	10
1970	11
1970	12
1970	13
1970	14
1970	15
1970	16
1970	17
1970	18
1970	19
1970	20
1970	21
1970	22
1970	23
1970	24
1970	25
1970	26
1970	27
1970	28
1970	29
1970	30
1970	31
1970	32
1970	33
1970	34
1970	35
1970	36
1970	37
1970	38
1970	39
1970	40
1970	41
1970	42
1970	43
1970	44
1970	45
1970	46
1970	47
1970	48
1970	49
1970	50
1970	51
1970	52
1970	53
1971	1
1971	2
1971	3
1971	4
1971	5
1971	6
1971	7
1971	8
1971	9
1971	10
1971	11
1971	12
1971	13
1971	14
1971	15
1971	16
1971	17
1971	18
1971	19
1971	20
1971	21
1971	22
1971	23
1971	24
1971	25
1971	26
1971	27
1971	28
1971	29
1971	30
1971	31
1971	32
1971	33
1971	34
1971	35
1971	36
1971	37
1971	38
1971	39
1971	40
1971	41
1971	42
1971	43
1971	44
1971	45
1971	46
1971	47
1971	48
1971	49
1971	50
1971	51
1971	52
1972	1
1972	2
1972	3
1972	4
1972	5
1972	6
1972	7
1972	8
1972	9
1972	10
1972	11
1972	12
1972	13
1972	14
1972	15
1972	16
1972	17
1972	18
1972	19
1972	20
1972	21
1972	22
1972	23
1972	24
1972	25
1972	26
1972	27
1972	28
1972	29
1972	30
1972	31
1972	32
1972	33
1972	34
1972	35
1972	36
1972	37
1972	38
1972	39
1972	40
1972	41
1972	42
1972	43
1972	44
1972	45
1972	46
1972	47
1972	48
1972	49
1972	50
1972	51
1972	52
1973	1
1973	2
1973	3
1973	4
1973	5
1973	6
1973	7
1973	8
1973	9
1973	10
1973	11
1973	12
1973	13
1973	14
1973	15
1973	16
1973	17
1973	18
1973	19
1973	20
1973	21
1973	22
1973	23
1973	24
1973	25
1973	26
1973	27
1973	28
1973	29
1973	30
1973	31
1973	32
1973	33
1973	34
1973	35
1973	36
1973	37
1973	38
1973	39
1973	40
1973	41
1973	42
1973	43
1973	44
1973	45
1973	46
1973	47
1973	48
1973	49
1973	50
1973	51
1973	52
1974	1
1974	2
1974	3
1974	4
1974	5
1974	6
1974	7
1974	8
1974	9
1974	10
1974	11
1974	12
1974	13
1974	14
1974	15
1974	16
1974	17
1974	18
1974	19
1974	20
1974	21
1974	22
1974	23
1974	24
1974	25
1974	26
1974	27
1974	28
1974	29
1974	30
1974	31
1974	32
1974	33
1974	34
1974	35
1974	36
1974	37
1974	38
1974	39
1974	40
1974	41
1974	42
1974	43
1974	44
1974	45
1974	46
1974	47
1974	48
1974	49
1974	50
1974	51
1974	52
1975	1
1975	2
1975	3
1975	4
1975	5
1975	6
1975	7
1975	8
1975	9
1975	10
1975	11
1975	12
1975	13
1975	14
1975	15
1975	16
1975	17
1975	18
1975	19
1975	20
1975	21
1975	22
1975	23
1975	24
1975	25
1975	26
1975	27
1975	28
1975	29
1975	30
1975	31
1975	32
1975	33
1975	34
1975	35
1975	36
1975	37
1975	38
1975	39
1975	40
1975	41
1975	42
1975	43
1975	44
1975	45
1975	46
1975	47
1975	48
1975	49
1975	50
1975	51
1975	52
1976	1
1976	2
1976	3
1976	4
1976	5
1976	6
1976	7
1976	8
1976	9
1976	10
1976	11
1976	12
1976	13
1976	14
1976	15
1976	16
1976	17
1976	18
1976	19
1976	20
1976	21
1976	22
1976	23
1976	24
1976	25
1976	26
1976	27
1976	28
1976	29
1976	30
1976	31
1976	32
1976	33
1976	34
1976	35
1976	36
1976	37
1976	38
1976	39
1976	40
1976	41
1976	42
1976	43
1976	44
1976	45
1976	46
1976	47
1976	48
1976	49
1976	50
1976	51
1976	52
1976	53
1977	1
1977	2
1977	3
1977	4
1977	5
1977	6
1977	7
1977	8
1977	9
